,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
988,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4512,11, ,C0,2726 WALLACE AVENUE, ,10467,3,0,3,2500,3290,1925,1,C0,475000,6/15/2017 0:00
989,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4512,13, ,C0,2730 WALLACE AVENUE, ,10467,3,0,3,5000,3397,1925,1,C0,660000,1/24/2017 0:00
990,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4512,48, ,C0,2733 BARNES AVENUE, ,10467,3,0,3,2500,3408,1925,1,C0,665000,2/3/2017 0:00
995,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4527,41, ,C0,1290 ARNOW AVENUE, ,10469,3,0,3,2500,2168,1925,1,C0,465000,9/28/2016 0:00
996,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4532,40, ,C0,2777 FENTON AVENUE, ,10469,3,0,3,1900,2736,1940,1,C0,678000,3/29/2017 0:00
998,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4543,43, ,C0,3013 BARKER AVENUE, ,10467,3,0,3,4254,3240,1940,1,C0,100000,12/5/2016 0:00
999,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4544,6, ,C0,663 ADEE AVENUE, ,10467,3,0,3,2200,3340,1987,1,C0,565000,4/18/2017 0:00
1000,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4565,53, ,C0,1361 ARNOW AVENUE, ,10469,3,0,3,2500,1796,1940,1,C0,424000,10/13/2016 0:00
1001,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4570,2, ,C0,767 ADEE AVENUE, ,10467,3,0,3,3421,2344,1930,1,C0,242100,9/7/2016 0:00
1002,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4571,14, ,C0,3022 WALLACE AVENUE, ,10467,3,0,3,2500,1832,1935,1,C0,400000,6/2/2017 0:00
1004,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4595,21, ,C0,3254 OLINVILLE AVENUE, ,10467,3,0,3,2000,3300,2006,1,C0,715000,6/20/2017 0:00
1012,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4611,25, ,C0,3234 PAULDING AVENUE, ,10469,3,0,3,5000,2946,1925,1,C0,536000,6/6/2017 0:00
1014,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4615,16, ,C0,3218 YATES AVENUE, ,10469,3,0,3,2784,3182,2002,1,C0,625000,2/1/2017 0:00
1015,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4622,58, ,C0,3301 BARKER AVENUE, ,10467,3,0,3,2000,2468,1910,1,C0,280000,3/13/2017 0:00
1016,2,BRONXDALE,03 THREE FAMILY DWELLINGS                  ,1,4631,8, ,C0,759 BARTHOLDI STREET, ,10467,3,0,3,2375,3440,1910,1,C0,650000,1/6/2017 0:00
1018,2,BRONXDALE,05 TAX CLASS 1 VACANT LAND                 ,1B,4514,17, ,V0,2744 MATTHEWS AVENUE, ,0,0,0,0,2500,0,0,1,V0,349000,6/23/2017 0:00
1021,2,BRONXDALE,05 TAX CLASS 1 VACANT LAND                 ,1B,4535,37, ,V0,WOODHULL AVENUE, ,0,0,0,0,291,0,0,1,V0,3500,6/22/2017 0:00
1022,2,BRONXDALE,05 TAX CLASS 1 VACANT LAND                 ,1B,4544,24, ,V0,LESTER STREET, ,0,0,0,0,3425,0,0,1,V0,500000,7/14/2017 0:00
1028,2,BRONXDALE,05 TAX CLASS 1 VACANT LAND                 ,1B,4632,22, ,V0,MAGENTA STREET, ,0,0,0,0,2375,0,0,1,V0,65000,11/14/2016 0:00
1029,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4342,47, ,C2,681 THWAITES PLACE, ,10467,6,0,6,2250,2880,1927,2,C2,726000,9/15/2016 0:00
1030,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4424,45, ,C3,2431 BARKER AVENUE, ,10467,4,0,4,2950,3900,1927,2,C3,650000,10/31/2016 0:00
1031,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4433,43, ,C1,2547 CRUGER AVE, ,10467,15,0,15,5000,2200,2016,2,C1,4100000,3/23/2017 0:00
1032,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4506,1, ,C7,2700 BRONX PARK EAST, ,10467,716,20,736,208366,282920,1927,2,C7,51250000,9/9/2016 0:00
1036,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4511,34, ,C3,2757 WALLACE AVENUE, ,10467,4,0,4,2600,3160,1925,2,C3,380000,2/23/2017 0:00
1037,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4511,41, ,C3,2743 WALLACE AVENUE, ,10467,4,0,4,2600,3160,1925,2,C3,380000,2/23/2017 0:00
1040,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4570,19, ,C1,3034 HOLLAND, ,10467,13,0,13,3500,8524,1926,2,C1,1960565,5/4/2017 0:00
1044,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4572,18, ,C3,3022 BARNES AVENUE, ,10467,4,0,4,3625,3618,1931,2,C3,605000,11/15/2016 0:00
1047,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4576,51, ,C2,3011 PAULDING AVENUE, ,10469,5,0,5,3685,4920,1931,2,C2,1260000,11/7/2016 0:00
1048,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2A,4598,22, ,C3,768 SOUTH OAK DRIVE, ,10467,4,0,4,2525,5400,1930,2,C3,700000,11/30/2016 0:00
1049,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4628,1, ,C1,679-681 MAGENTA STREET, ,10467,74,0,74,14850,61800,1926,2,C1,11015000,11/10/2016 0:00
1051,2,BRONXDALE,09 COOPS - WALKUP APARTMENTS               ,2,4573,5, ,C6,"829 ADEE AVENUE, 6B", ,10467,0,0,0,0,0,1927,2,C6,85000,7/6/2017 0:00
1052,2,BRONXDALE,09 COOPS - WALKUP APARTMENTS               ,2,4573,5, ,C6,"829 ADEE AVENUE, 5F", ,10467,0,0,0,0,0,1927,2,C6,61200,8/18/2017 0:00
1053,2,BRONXDALE,09 COOPS - WALKUP APARTMENTS               ,2,4593,36, ,C6,"3239 BARKER AVENUE, LK", ,10467,0,0,0,0,0,1953,2,C6,65000,2/13/2017 0:00
1054,2,BRONXDALE,09 COOPS - WALKUP APARTMENTS               ,2,4593,36, ,C6,"3239 BARKER AVE, 1H", ,10467,0,0,0,0,0,1953,2,C6,54900,5/4/2017 0:00
1055,2,BRONXDALE,09 COOPS - WALKUP APARTMENTS               ,2,4593,36, ,C6,"3231 BARKER AVENUE, 2B", ,10467,0,0,0,0,0,1953,2,C6,140000,6/22/2017 0:00
1056,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 412", ,10467,0,0,0,0,0,1937,2,D4,169500,9/1/2016 0:00
1057,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 107", ,10467,0,0,0,0,0,1937,2,D4,175125,9/29/2016 0:00
1058,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 106", ,10467,0,0,0,0,0,1937,2,D4,270000,3/23/2017 0:00
1059,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 212", ,10467,0,0,0,0,0,1937,2,D4,195000,7/7/2017 0:00
1060,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 410", ,10467,0,0,0,0,0,1937,2,D4,239000,7/27/2017 0:00
1061,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,1, ,D4,"601 PELHAM PARKWAY NORTH, 504", ,10467,0,0,0,0,0,1937,2,D4,250000,8/9/2017 0:00
1062,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,18, ,D4,"2244 BRONX PARK EAST, 4D", ,10467,0,0,0,0,0,1956,2,D4,143500,11/21/2016 0:00
1063,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,18, ,D4,"2244 BRONX PARK EAST, 4H", ,10467,0,0,0,0,0,1956,2,D4,181000,12/13/2016 0:00
1064,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4337,18, ,D4,"2244 BRONX PARK EAST, 4A", ,10467,0,0,0,0,0,1956,2,D4,173000,3/21/2017 0:00
1065,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PL, 1C", ,10467,0,0,0,0,0,1962,2,D4,129000,9/12/2016 0:00
1066,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 5D", ,10467,0,0,0,0,0,1962,2,D4,210000,10/27/2016 0:00
1067,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 5B", ,10467,0,0,0,0,0,1962,2,D4,110000,3/8/2017 0:00
1068,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 2B", ,10467,0,0,0,0,0,1962,2,D4,110000,3/8/2017 0:00
1069,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 3K", ,10467,0,0,0,0,0,1962,2,D4,105000,3/8/2017 0:00
1070,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 5E", ,10467,0,0,0,0,0,1962,2,D4,55000,4/7/2017 0:00
1071,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 2V", ,10467,0,0,0,0,0,1962,2,D4,130000,5/11/2017 0:00
1072,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 5A", ,10467,0,0,0,0,0,1962,2,D4,110000,6/13/2017 0:00
1073,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 1P", ,10467,0,0,0,0,0,1962,2,D4,123000,7/6/2017 0:00
1074,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 4X", ,10467,0,0,0,0,0,1962,2,D4,110000,7/14/2017 0:00
1075,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4341,1, ,D4,"665 THWAITES PLACE, 6V", ,10467,0,0,0,0,0,1962,2,D4,130000,7/28/2017 0:00
1076,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4429,1, ,D4,"2550 OLINVILLE AVENUE, 8F", ,10467,0,0,0,0,0,1965,2,D4,150000,9/26/2016 0:00
1077,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4429,1, ,D4,"2550 OLINVILLE AVENUE, 15H", ,10467,0,0,0,0,0,1965,2,D4,195000,1/4/2017 0:00
1078,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4429,1, ,D4,"2550 OLINVILLE AVENUE, 3E", ,10467,0,0,0,0,0,1965,2,D4,155000,7/13/2017 0:00
1079,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4429,1, ,D4,"2550 OLINVILLE AVENUE, 16G", ,10467,0,0,0,0,0,1965,2,D4,180000,7/26/2017 0:00
1080,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVE, 1J", ,10467,0,0,0,0,0,1955,2,D4,150000,1/12/2017 0:00
1081,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, 4H", ,10467,0,0,0,0,0,1955,2,D4,215000,2/28/2017 0:00
1082,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, 4K", ,10467,0,0,0,0,0,1955,2,D4,170000,3/10/2017 0:00
1083,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, 2L", ,10467,0,0,0,0,0,1955,2,D4,110000,3/27/2017 0:00
1084,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, 6E", ,10467,0,0,0,0,0,1955,2,D4,144500,5/15/2017 0:00
1085,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, G", ,10467,0,0,0,0,0,1955,2,D4,40000,5/11/2017 0:00
1086,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4508,10, ,D4,"2750 OLINVILLE AVENUE, 1D", ,10467,0,0,0,0,0,1955,2,D4,160000,6/16/2017 0:00
1087,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2925 MATTHEWS AVE, 1E", ,10467,0,0,0,0,0,1928,2,D4,113500,9/1/2016 0:00
1088,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 6B", ,10467,0,0,0,0,0,1928,2,D4,67000,10/20/2016 0:00
1089,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 6L", ,10467,0,0,0,0,0,1928,2,D4,55000,9/14/2016 0:00
1090,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 2C", ,10467,0,0,0,0,0,1928,2,D4,107500,1/9/2017 0:00
1091,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 6G", ,10467,0,0,0,0,0,1928,2,D4,86000,3/16/2017 0:00
1092,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 1K", ,10467,0,0,0,0,0,1928,2,D4,72000,5/1/2017 0:00
1093,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 4F", ,10467,0,0,0,0,0,1928,2,D4,175000,5/18/2017 0:00
1094,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 3C", ,10467,0,0,0,0,0,1928,2,D4,162400,5/25/2017 0:00
1095,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2925 MATTHEWS AVENUE, 2B", ,10467,0,0,0,0,0,1928,2,D4,122000,6/21/2017 0:00
1096,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4550,12, ,D4,"2922 BARNES AVENUE, 3G", ,10467,0,0,0,0,0,1928,2,D4,135000,7/19/2017 0:00
1097,2,BRONXDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,4597,21, ,D4,"3230 CRUGER AVENUE, 1A", ,10467,0,0,0,0,0,1930,2,D4,85000,10/21/2016 0:00
1098,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1001, ,R4,610 WARING AVENUE,LB,10467,1,0,1,0,0,1960,2,R4,120000,6/13/2017 0:00
1099,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1002, ,R4,610 WARING AVENUE,LA,10467,1,0,1,0,0,1957,2,R4,225000,9/29/2016 0:00
1102,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1027, ,R4,610 WARING AVENUE,2E,10467,1,0,1,0,0,1957,2,R4,260000,7/7/2017 0:00
1103,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1027, ,R4,610 WARING AVENUE,2E,10467,1,0,1,0,0,1957,2,R4,192500,2/8/2017 0:00
1104,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1072, ,R4,610 WARING AVENUE,4K,10467,1,0,1,0,0,1957,2,R4,205000,3/31/2017 0:00
1105,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1079, ,R4,610 WARING AVENUE,4T,10467,1,0,1,0,0,1957,2,R4,140000,6/13/2017 0:00
1106,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1089, ,R4,610 WARING AVENUE,5G,10467,1,0,1,0,0,1957,2,R4,75000,1/26/2017 0:00
1108,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1105, ,R4,610 WARING AVENUE,6C,10467,1,0,1,0,0,1957,2,R4,65000,1/26/2017 0:00
1112,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1222, ,R4,2385 BARKER AVENUE,1N,10467,1,0,1,0,0,1958,2,R4,100000,2/23/2017 0:00
1115,2,BRONXDALE,13 CONDOS - ELEVATOR APARTMENTS            ,2,4340,1254, ,R4,2385 BARKER AVENUE,3U,10467,1,0,1,0,0,1958,2,R4,179000,3/22/2017 0:00
1119,2,BRONXDALE,14 RENTALS - 4-10 UNIT                     ,2A,4574,30, ,S3,912 BURKE AVENUE, ,10469,3,1,4,2500,3100,1931,2,S3,446160,4/7/2017 0:00
1120,2,BRONXDALE,21 OFFICE BUILDINGS                        ,4,4342,94, ,O1,2311 WHITE PLAINS ROAD, ,10467,0,4,4,12069,4779,1965,4,O1,450000,6/26/2017 0:00
1121,2,BRONXDALE,22 STORE BUILDINGS                         ,4,4554,41, ,K4,2941 BOSTON ROAD, ,10469,0,2,2,3660,4232,1969,4,K4,600000,2/22/2017 0:00
1122,2,BRONXDALE,22 STORE BUILDINGS                         ,4,4568,27, ,K1,700-708 BURKE AVENUE, ,10467,0,6,6,5000,5000,1930,4,K1,2460000,9/30/2016 0:00
1123,2,BRONXDALE,22 STORE BUILDINGS                         ,4,4600,4, ,K4,3308 WHITE PLAINS ROAD, ,10467,4,1,5,3645,7920,1930,4,K4,1175000,10/18/2016 0:00
1127,2,BRONXDALE,29 COMMERCIAL GARAGES                      ,4,4538,29, ,G7,TIEMANN AVENUE, ,0,0,0,0,5000,0,0,4,G7,375000,7/27/2017 0:00
1131,2,BRONXDALE,32 HOSPITAL AND HEALTH FACILITIES          ,4,4427,29, ,I1,612 ALLERTON AVENUE, ,10467,0,1,1,81885,486162,1934,4,I1,25000000,3/15/2017 0:00
1132,2,BRONXDALE,32 HOSPITAL AND HEALTH FACILITIES          ,4,4609,1, ,I5,941 BURKE AVENUE, ,10469,0,1,1,5000,3675,1960,4,I5,725000,9/15/2016 0:00
5317,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,210,20, ,A9,31 MIDDAGH STREET, ,11201,1,0,1,1020,1626,1847,1,A9,2675000,6/22/2017 0:00
5319,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,224,4, ,A5,109 COLUMBIA HEIGHTS, ,11201,1,0,1,2550,2200,1901,1,A5,4900000,7/11/2017 0:00
5320,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,234,75, ,A9,152 WILLOW STREET, ,11201,1,0,1,742,2191,1900,1,A9,3500000,12/19/2016 0:00
5321,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,237,57, ,A9,27 MONROE PLACE, ,11201,1,0,1,2500,7371,1844,1,A9,12900000,4/28/2017 0:00
5322,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,238,15, ,A9,44 MONROE PLACE, ,11201,1,0,1,3050,3375,1835,1,A9,7750000,2/15/2017 0:00
5323,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,259,4, ,A4,21 STATE STREET, ,11201,1,0,1,908,1690,1970,1,A4,2350000,9/26/2016 0:00
5324,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,259,34, ,A4,6 WILLOW PLACE, ,11201,1,0,1,1337,2040,1899,1,A4,4500000,5/12/2017 0:00
5325,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,260,35, ,A5,272 HICKS STREET, ,11201,1,0,1,1425,2295,1910,1,A5,5499000,8/2/2017 0:00
5326,3,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,262,16, ,A4,31 GARDEN PLACE, ,11201,1,0,1,2225,4750,1901,1,A4,8350000,8/8/2017 0:00
5329,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,221,19, ,B3,70 CRANBERRY STREET, ,11201,2,0,2,1919,3496,1852,1,B3,5650000,6/14/2017 0:00
5330,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,226,34, ,B1,65 PINEAPPLE STREET, ,11201,2,0,2,2076,2784,1835,1,B1,5135000,5/15/2017 0:00
5331,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,236,85, ,B3,161 HICKS STREET, ,11201,2,0,2,1650,2816,1899,1,B3,5200000,4/21/2017 0:00
5333,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,252,27, ,B3,44 GRACE COURT, ,11201,2,0,2,1970,4644,1915,1,B3,7150000,12/2/2016 0:00
5334,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,260,5, ,B9,43 WILLOW PLACE, ,11201,2,0,2,1575,1838,1930,1,B9,3050000,2/24/2017 0:00
5336,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,263,9, ,B1,295 HENRY STREET, ,11201,2,0,2,2232,4992,1899,1,B1,7630000,5/8/2017 0:00
5337,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,270,38, ,B3,24 SCHERMERHORN STREET, ,11201,2,0,2,2054,3800,1846,1,B3,6600000,9/9/2016 0:00
5339,3,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,274,28, ,B9,70-72 STATE STREET, ,11201,2,0,2,3000,3780,1901,1,B9,9400000,10/25/2016 0:00
5340,3,BROOKLYN HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,261,22, ,C0,271 HICKS STREET, ,11201,3,0,3,2160,5202,1901,1,C0,4950000,5/25/2017 0:00
5344,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,234,1, ,C1,25 PIERREPONT STREET,15,11201,9,0,9,1525,6063,1856,2,C1,5500000,7/18/2017 0:00
5345,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,234,29, ,C1,161 COLUMBIA HEIGHTS,12,11201,10,0,10,2652,5694,1844,2,C1,5500000,7/18/2017 0:00
5347,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,236,5, ,C1,81 PIERREPONT STREET,6,11201,8,0,8,2382,6569,1854,2,C1,7000000,4/1/2017 0:00
5348,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,238,29, ,C1,20 MONROE PLACE, ,11201,7,0,7,2529,7842,1854,2,C1,5400000,1/31/2017 0:00
5349,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,238,31, ,C1,16 MONROE PLACE, ,11201,10,0,10,2500,9450,1900,2,C1,6600000,6/20/2017 0:00
5353,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2B,262,48, ,C1,268 HENRY STREET, ,11201,10,0,10,2313,6000,1900,2,C1,4600000,6/20/2017 0:00
5356,3,BROOKLYN HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2A,267,7, ,C2,109 STATE STREET, ,11201,5,0,5,1719,4700,1880,2,C2,1728000,5/5/2017 0:00
5359,3,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,225,20, ,D9,35 PINEAPPLE STREET,14,11201,14,1,15,2545,11842,1900,2,D9,10300000,12/13/2016 0:00
5360,3,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,237,58, ,D1,29 MONROE PLACE, ,11201,16,0,16,3005,9570,1852,2,D1,7100000,3/7/2017 0:00
5364,3,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,265,5, ,D9,67 LIVINGSTON STREET, ,11201,29,0,29,3404,41500,1987,2,D9,28625000,1/30/2017 0:00
5365,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,208,317, ,C6,"190 COLUMBIA HEIGHTS, 4", ,11201,0,0,0,0,0,1900,2,C6,1870000,7/12/2017 0:00
5366,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,214,3, ,C6,"73 COLUMBIA HEIGHTS, B-1", ,11201,0,0,0,0,0,1900,2,C6,785000,1/4/2017 0:00
5367,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,215,1, ,C6,"33 WILLOW STREET, 2", ,11201,0,0,0,0,0,1900,2,C6,1355000,1/3/2017 0:00
5368,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,215,1, ,C6,"33 WILLOW STREET, 4", ,11201,0,0,0,0,0,1900,2,C6,1375000,6/29/2017 0:00
5369,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2,216,3, ,C6,"55 HICKS STREET, 4", ,11201,0,0,0,0,0,1900,2,C6,550000,1/19/2017 0:00
5370,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2,216,3, ,C6,"55 HICKS STREET, 32", ,11201,0,0,0,0,0,1900,2,C6,35000,2/17/2017 0:00
5371,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2,219,5, ,C6,"81 COLUMBIA HEIGHTS, 36", ,11201,0,0,0,0,0,1890,2,C6,650000,10/20/2016 0:00
5372,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2,234,19, ,C6,"177 COLUMBIA HEIGHTS, 33", ,11201,0,0,0,0,0,1925,2,C6,290000,9/12/2016 0:00
5373,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,234,58, ,C6,"126 WILLOW STREET, 4", ,11201,0,0,0,0,0,1832,2,C6,585000,8/9/2017 0:00
5374,3,BROOKLYN HEIGHTS,09 COOPS - WALKUP APARTMENTS               ,2C,235,2, ,C6,"41 PIERREPONT STREET, 4", ,11201,0,0,0,0,0,1900,2,C6,1895000,11/30/2016 0:00
